Column 1,Column 2,Correlation Coefficient
dumgr_du_1_DUMGR_LOGGER_1_max,dumgr_du_1_DUMGR_LOGGER_1_range,0.998496969060817
gnb_cu_pdcp_0_0_pdcp_master_0_max,gnb_cu_pdcp_0_0_pdcp_master_0_range,1.0
gnb_cu_pdcp_0_0_recv_data_0_max,gnb_cu_pdcp_0_0_recv_data_0_range,1.0
gnb_du_layer2_f1_du_worker_0_max,gnb_du_layer2_f1_du_worker_0_range,1.0
gnb_du_layer2_rlcWorkrDU1__max,gnb_du_layer2_rlcWorkrDU1__range,0.9995628427207489
l1app_main_ebbupool_act_0_max,l1app_main_ebbupool_act_0_range,1.0
l1app_main_ebbupool_act_1_max,l1app_main_ebbupool_act_1_range,0.9999999999999998
l1app_main_ebbupool_act_2_max,l1app_main_ebbupool_act_2_total_events,0.9548948898366272
l1app_main_ebbupool_act_2_max,l1app_main_ebbupool_act_2_total_runtime,0.9545897482862619
l1app_main_ebbupool_act_2_max,l1app_main_ebbupool_act_2_range,0.9999999999999999
l1app_main_ebbupool_act_2_max,l1app_main_ebbupool_act_2_std,0.9550490934619174
l1app_main_ebbupool_act_2_max,l1app_main_ebbupool_act_2_irq,0.9518858551359589
l1app_main_ebbupool_act_3_max,l1app_main_ebbupool_act_3_total_events,0.9564260091784134
l1app_main_ebbupool_act_3_max,l1app_main_ebbupool_act_3_total_runtime,0.9565650126562114
l1app_main_ebbupool_act_3_max,l1app_main_ebbupool_act_3_range,0.9999605380079821
l1app_main_ebbupool_act_3_max,l1app_main_ebbupool_act_3_std,0.9572564755798727
phc2sys_phc2sys_max,phc2sys_phc2sys_range,0.9508410181618873
phc2sys_phc2sys_max,ptp4l_ptp4l_range,0.9508410181618873
dumgr_du_1_DUMGR_LOGGER_1_total_events,dumgr_du_1_DUMGR_LOGGER_1_total_runtime,0.9500150545072671
dumgr_du_1_dumgr_du_1_total_events,dumgr_du_1_dumgr_du_1_total_runtime,0.9886549778155995
gnb_cu_l3_l3_main_total_events,gnb_cu_l3_l3_main_total_runtime,0.9976296517605442
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,0.9725469621333926
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_du_layer2_pr_accumulator_total_events,0.9835478617688576
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,l1app_main_ebbupool_act_1_total_events,0.9652404595144393
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_total_runtime,0.9999941435469996
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_total_runtime,0.972614752404607
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_du_layer2_pr_accumulator_total_runtime,0.9835313639561616
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,l1app_main_ebbupool_act_1_total_runtime,0.9661667425934312
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_outliers,0.9992629054770925
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_outliers,0.9718210651226096
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,gnb_du_layer2_pr_accumulator_outliers,0.9837655696500404
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_du_layer2_pr_accumulator_total_events,0.987936487025447
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,l1app_main_ebbupool_act_0_total_events,0.9620956629031969
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,l1app_main_ebbupool_act_1_total_events,0.9834471224127956
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_total_runtime,0.972495365324084
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_total_runtime,0.9999694347760929
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_du_layer2_f1_du_worker_0_total_runtime,0.9576174428460933
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_du_layer2_pr_accumulator_total_runtime,0.9878948066671072
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,l1app_main_ebbupool_act_0_total_runtime,0.9635452073220241
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,l1app_main_ebbupool_act_1_total_runtime,0.9842562903121979
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_outliers,0.9720472692802761
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_outliers,0.998744375362414
gnb_cu_pdcp_0_0_pdcp_worker_0_total_events,gnb_du_layer2_pr_accumulator_outliers,0.988206086804885
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_du_layer2_rlcAccum_DU1_total_events,0.9736366341141695
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_du_layer2_rlcTimer_DU1_total_events,0.9822981597663881
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_cu_pdcp_0_0_recv_data_0_total_runtime,0.9999213275998833
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_du_layer2_rlcAccum_DU1_total_runtime,0.9736118327615233
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_du_layer2_rlcTimer_DU1_total_runtime,0.983542099493215
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_du_layer2_rlcTimer_DU1_var,0.9811034552516474
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_du_layer2_rlcTimer_DU1_std,0.9832732470089001
gnb_cu_pdcp_0_0_recv_data_0_total_events,gnb_cu_pdcp_0_0_recv_data_0_outliers,0.9895295923646028
gnb_du_layer2_LowPrio_DU1_C0_total_events,gnb_du_layer2_LowPrio_DU1_C0_total_runtime,0.9936403186982902
gnb_du_layer2_TxCtrl_DU1_C0_total_events,gnb_du_layer2_TxCtrl_DU1_C0_total_runtime,0.9963840323084191
gnb_du_layer2_f1_du_worker_0_total_events,l1app_main_ebbupool_act_1_total_events,0.951734699896536
gnb_du_layer2_f1_du_worker_0_total_events,gnb_du_layer2_f1_du_worker_0_total_runtime,0.9998911874524539
gnb_du_layer2_f1_du_worker_0_total_events,l1app_main_ebbupool_act_1_total_runtime,0.9513473522086987
gnb_du_layer2_pr_accumulator_total_events,l1app_main_ebbupool_act_1_total_events,0.9807646894266873
gnb_du_layer2_pr_accumulator_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_total_runtime,0.9834819419805848
gnb_du_layer2_pr_accumulator_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_total_runtime,0.9881050575515059
gnb_du_layer2_pr_accumulator_total_events,gnb_du_layer2_pr_accumulator_total_runtime,0.99999460273584
gnb_du_layer2_pr_accumulator_total_events,l1app_main_ebbupool_act_1_total_runtime,0.9819291803270489
gnb_du_layer2_pr_accumulator_total_events,l1app_main_ebbupool_act_1_var,0.9532168095184609
gnb_du_layer2_pr_accumulator_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_outliers,0.9833630120465536
gnb_du_layer2_pr_accumulator_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_outliers,0.9876750913201741
gnb_du_layer2_pr_accumulator_total_events,gnb_du_layer2_pr_accumulator_outliers,0.9997107431812159
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_total_events,0.9868085379896983
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_cu_pdcp_0_0_recv_data_0_total_runtime,0.9734775343587619
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_du_layer2_rlcAccum_DU1_total_runtime,0.9999979330153128
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_total_runtime,0.9898396212178409
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_var,0.982579983043732
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_std,0.9874314617143876
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_cu_pdcp_0_0_recv_data_0_outliers,0.975108495508561
gnb_du_layer2_rlcAccum_DU1_total_events,gnb_du_layer2_rlcAccum_DU1_outliers,0.9557219493213964
gnb_du_layer2_rlcTimer_DU1_total_events,gnb_cu_pdcp_0_0_recv_data_0_total_runtime,0.982253191909006
gnb_du_layer2_rlcTimer_DU1_total_events,gnb_du_layer2_rlcAccum_DU1_total_runtime,0.9867875554623361
gnb_du_layer2_rlcTimer_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_total_runtime,0.9973352624548433
gnb_du_layer2_rlcTimer_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_var,0.9909861870133349
gnb_du_layer2_rlcTimer_DU1_total_events,gnb_du_layer2_rlcTimer_DU1_std,0.996167066592187
gnb_du_layer2_rlcTimer_DU1_total_events,gnb_cu_pdcp_0_0_recv_data_0_outliers,0.9809453354607287
gnb_du_layer2_rlcWorkrDU1__total_events,gnb_du_layer2_rlcWorkrDU1__total_runtime,0.9994592602962832
l1app_main_ebbupool_act_0_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_total_runtime,0.9619975020852715
l1app_main_ebbupool_act_0_total_events,l1app_main_ebbupool_act_0_total_runtime,0.9988774889907761
l1app_main_ebbupool_act_0_total_events,l1app_main_ebbupool_act_0_var,0.9640616281253187
l1app_main_ebbupool_act_0_total_events,l1app_main_ebbupool_act_0_std,0.9655079934057638
l1app_main_ebbupool_act_1_total_events,gnb_cu_pdcp_0_0_pdcp_master_0_total_runtime,0.9652620206448183
l1app_main_ebbupool_act_1_total_events,gnb_cu_pdcp_0_0_pdcp_worker_0_total_runtime,0.9834189837771619
l1app_main_ebbupool_act_1_total_events,gnb_du_layer2_f1_du_worker_0_total_runtime,0.9521936641161247
