Column 1,Column 2,Correlation Coefficient
dumgr_du_1_dumgr_du_1_max,anomaly,-0.01892577762366553
gnb_cu_l3_l3_main_max,anomaly,-0.041326362953461225
gnb_cu_pdcp_0_0_f1_worker_0_max,anomaly,0.03997993726549903
gnb_cu_pdcp_0_0_pdcp_master_0_max,anomaly,-0.05850682641026988
gnb_cu_pdcp_0_0_recv_data_0_max,anomaly,-0.042006241767202274
gnb_du_layer2_LowPrio_DU1_C0_max,anomaly,-0.023841112724493147
gnb_du_layer2_f1_du_worker_0_max,anomaly,-0.08764112382896029
gnb_du_layer2_pr_accumulator_max,anomaly,-0.0028725610308393537
gnb_du_layer2_rlcAccum_DU1_max,anomaly,-0.06594209775151347
gnb_du_layer2_rlcTimer_DU1_max,anomaly,-0.021627935007135567
l1app_main_ebbupool_act_0_max,anomaly,0.008337416720531577
l1app_main_ebbupool_act_1_max,anomaly,0.02713021586105209
l1app_main_ebbupool_act_2_max,anomaly,0.020282238392329854
l1app_main_ebbupool_act_3_max,anomaly,0.0694733893949134
l1app_main_fh_rx_bbdev-21_max,anomaly,-0.010799767648665528
phc2sys_phc2sys_max,anomaly,0.004932778292991541
ptp4l_ptp4l_max,anomaly,0.030160026558591724
dumgr_du_1_DUMGR_LOGGER_1_total_events,anomaly,-0.017645713512792472
dumgr_du_1_dumgr_du_1_total_events,anomaly,-0.02064467883343957
gnb_cu_l3_l3_main_total_events,anomaly,-0.025676430968353012
gnb_cu_pdcp_0_0_f1_worker_0_total_events,anomaly,-0.006185234361197192
gnb_cu_pdcp_0_0_pdcp_master_0_total_events,anomaly,-0.006718765540318644
gnb_du_layer2_f1_du_worker_0_total_events,anomaly,-0.06962738103141493
gnb_du_layer2_pr_accumulator_total_events,anomaly,-0.02205806173867528
gnb_du_layer2_rlcAccum_DU1_total_events,anomaly,-0.017324321074992474
gnb_du_layer2_rlcTimer_DU1_total_events,anomaly,-0.021537302472729718
l1app_main_ebbupool_act_0_total_events,anomaly,0.014889963535464385
l1app_main_ebbupool_act_1_total_events,anomaly,-0.056168669477398854
l1app_main_ebbupool_act_2_total_events,anomaly,-0.042266960906523515
l1app_main_ebbupool_act_3_total_events,anomaly,-0.04178843587558619
l1app_main_fh_rx_bbdev-21_total_events,anomaly,-0.009768846776512916
phc2sys_phc2sys_total_events,anomaly,-0.0009449686824232595
ptp4l_ptp4l_total_events,anomaly,0.019425650705814607
dumgr_du_1_DUMGR_LOGGER_1_total_runtime,anomaly,-0.015370595437645377
dumgr_du_1_dumgr_du_1_total_runtime,anomaly,-0.018758578774601027
gnb_cu_l3_l3_main_total_runtime,anomaly,-0.02565747757849407
gnb_cu_pdcp_0_0_f1_worker_0_total_runtime,anomaly,-0.009134622013174483
gnb_cu_pdcp_0_0_pdcp_master_0_total_runtime,anomaly,-0.008670011285533477
gnb_du_layer2_LowPrio_DU1_C0_total_runtime,anomaly,-0.03756185063830551
gnb_du_layer2_f1_du_worker_0_total_runtime,anomaly,-0.06457514797098002
gnb_du_layer2_pr_accumulator_total_runtime,anomaly,-0.02296863005276066
gnb_du_layer2_rlcAccum_DU1_total_runtime,anomaly,-0.01717978987830471
gnb_du_layer2_rlcTimer_DU1_total_runtime,anomaly,-0.021477956705644837
l1app_main_ebbupool_act_0_total_runtime,anomaly,0.02013798692132742
